,,,,,,Dollars,Dollars,Dollars,Units,Units,Units
Store,,,,,,Store 1,Store 2,Store 3,Store 1,Store 2,Store 3
Date,Department,Category,Subcategory,UPC EAN,Description,,,,,,
2018-07-10,Booooze,Alcohol,Liqour,80480280024,Grey Goose - Imported Vodka - 750 mL Bottle,,231.3,128.3,,9.0,5.0
2018-07-10,Booooze,Alcohol,Liquor,80432400630,Glenlivet - 12 Year Scotch Whisky - 750 mL Bottle,,172.0,278.8,,5.0,8.0
2018-07-10,Booooze,Alcohol,Liquor,674545000001,Don Julio - Tequila Blanco - 750 mL Bottle,,168.06,204.12,,6.0,7.0
2018-07-10,Booooze,Beer,Ales,94922755711,Bowser Beer - Beefy Brown Ale - 6 Pack,,81.76,62.48,,8.0,8.0
2018-07-10,Booooze,Beer,Ales,702770082018,Omission Pale Ale - Gluten Free Pale Ale - 6 Pack,,89.76,135.72,,6.0,13.0
2018-07-10,Booooze,Beer,Ales,736920111112,Goose Island - Honkers Ale - 6 Pack,,80.01,67.36,,9.0,8.0
2018-07-10,Booooze,Beer,Lagers,702770081011,Omission - Gluten Free Lager - 6 Pack,137.67,,176.96,13.0,,14.0
2018-07-10,Booooze,Beer,Stouts,83783575217,Sierra Nevada Brewing Co. - Stout - 6 Pack,,78.39999999999998,119.9,,7.0,10.0
2018-07-10,Booooze,Wine,Red,89744402585,Trapiche - Malbec - 750 mL Bottle,56.88,,37.8,8.0,,6.0
2018-07-10,Booooze,Wine,Red,492130008399,Yellow Tail - Merlot - 750 mL Bottle,46.3,,34.56,10.0,,6.0
2018-07-10,Booooze,Wine,Rose,85000024218,Dark Horse - S. Blanc Rose - 750 mL Bottle,148.61,100.38,,11.0,7.0,
2018-07-10,Booooze,Wine,White,81248501095,Curious Beasts - Chardonnay - 750 mL Bottle,,293.16,278.6,,14.0,14.0
2018-07-11,Booooze,Alcohol,Liqour,80480280024,Grey Goose - Imported Vodka - 750 mL Bottle,,248.8,296.01,,10.0,11.0
2018-07-11,Booooze,Alcohol,Liquor,80432400630,Glenlivet - 12 Year Scotch Whisky - 750 mL Bottle,,201.72,318.8,,6.0,8.0
2018-07-11,Booooze,Alcohol,Liquor,674545000001,Don Julio - Tequila Blanco - 750 mL Bottle,,338.1,102.04,,10.0,4.0
2018-07-11,Booooze,Beer,Ales,94922755711,Bowser Beer - Beefy Brown Ale - 6 Pack,,104.91,72.72,,13.0,9.0
2018-07-11,Booooze,Beer,Ales,702770082018,Omission Pale Ale - Gluten Free Pale Ale - 6 Pack,,156.24,184.99,,12.0,13.0
2018-07-11,Booooze,Beer,Ales,736920111112,Goose Island - Honkers Ale - 6 Pack,,166.74,35.68,,14.0,4.0
2018-07-11,Booooze,Beer,Malts,71250000140,Colt 45 - Malt Liquor - 6 Pack,,101.79,107.58,,9.0,11.0
2018-07-11,Booooze,Beer,Stouts,83783575217,Sierra Nevada Brewing Co. - Stout - 6 Pack,,56.14,143.51999999999995,,7.0,13.0
2018-07-11,Booooze,Wine,Red,89744402585,Trapiche - Malbec - 750 mL Bottle,50.40000000000001,,47.25,6.0,,7.0
2018-07-11,Booooze,Wine,Rose,85000024218,Dark Horse - S. Blanc Rose - 750 mL Bottle,52.24,173.03,,4.0,13.0,
2018-07-11,Booooze,Wine,White,81248501095,Curious Beasts - Chardonnay - 750 mL Bottle,,237.16,247.52,,11.0,13.0
2018-07-12,Booooze,Alcohol,Liqour,80480280024,Grey Goose - Imported Vodka - 750 mL Bottle,,279.36,228.08,,12.0,8.0
